ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
138971885,10/01/2014,139,"MURDER,UNCLASSIFIED",101,MURDER & NON-NEGL. MANSLAUGHTER,PL 1252501,F,B,49,0,25-44,M,BLACK,1027430,251105,40.85580274,-73.84390995
138967852,10/01/2014,139,"MURDER,UNCLASSIFIED",101,MURDER & NON-NEGL. MANSLAUGHTER,PL 1252501,F,Q,113,0,45-64,M,BLACK,1046405,187113,40.68004873,-73.77590919
138967811,10/01/2014,139,"MURDER,UNCLASSIFIED",101,MURDER & NON-NEGL. MANSLAUGHTER,PL 1252501,F,Q,102,0,<18,M,BLACK,1032428,198872,40.7124115,-73.8262173
139898075,12/01/2014,139,"MURDER,UNCLASSIFIED",101,MURDER & NON-NEGL. MANSLAUGHTER,PL 1252502,F,M,33,0,25-44,M,BLACK,1001889,245601,40.84078386,-73.93625261
139900433,12/01/2014,139,"MURDER,UNCLASSIFIED",101,MURDER & NON-NEGL. MANSLAUGHTER,PL 1252501,F,B,46,0,<18,M,BLACK,1009177,249329,40.85099856,-73.90989931
139900436,12/01/2014,139,"MURDER,UNCLASSIFIED",101,MURDER & NON-NEGL. MANSLAUGHTER,PL 1252501,F,B,46,0,18-24,M,BLACK,1009177,249329,40.85099856,-73.90989931
139898127,12/01/2014,139,"MURDER,UNCLASSIFIED",101,MURDER & NON-NEGL. MANSLAUGHTER,PL 1252501,F,Q,113,0,25-44,M,BLACK,1046405,187113,40.68004873,-73.77590919
139900424,12/01/2014,139,"MURDER,UNCLASSIFIED",101,MURDER & NON-NEGL. MANSLAUGHTER,PL 1252501,F,B,48,0,25-44,M,WHITE HISPANIC,1014974,247928,40.84713496,-73.88895168
139898002,12/01/2014,139,"MURDER,UNCLASSIFIED",101,MURDER & NON-NEGL. MANSLAUGHTER,PL 1252501,F,M,32,0,18-24,M,BLACK,999428,236544,40.81592955,-73.94516736
139900438,12/01/2014,139,"MURDER,UNCLASSIFIED",101,MURDER & NON-NEGL. MANSLAUGHTER,PL 1252501,F,B,47,0,<18,F,BLACK,1026486,262591,40.88733282,-73.84725001
138992058,10/02/2014,139,"MURDER,UNCLASSIFIED",101,MURDER & NON-NEGL. MANSLAUGHTER,PL 1252501,F,K,66,0,25-44,M,WHITE HISPANIC,986554,173863,40.64389831,-73.99169916
138988041,10/02/2014,139,"MURDER,UNCLASSIFIED",101,MURDER & NON-NEGL. MANSLAUGHTER,PL 1252501,F,K,77,0,18-24,M,BLACK,1003508,185056,40.67459999,-73.93057482
138991985,10/02/2014,129,"MANSLAUGHTER,UNCLASSIFIED - NON NEGLIGENT",101,MURDER & NON-NEGL. MANSLAUGHTER,PL 1251501,F,K,84,0,18-24,M,BLACK,988897,192615,40.69536745,-73.98324342
138992006,10/02/2014,139,"MURDER,UNCLASSIFIED",101,MURDER & NON-NEGL. MANSLAUGHTER,PL 1252501,F,K,81,0,25-44,M,BLACK,1005312,190540,40.68964821,-73.92405412
139470486,11/02/2014,139,"MURDER,UNCLASSIFIED",101,MURDER & NON-NEGL. MANSLAUGHTER,PL 12526A1,F,K,67,0,25-44,M,BLACK,997897,175677,40.64886713,-73.9508219
139916211,12/02/2014,139,"MURDER,UNCLASSIFIED",101,MURDER & NON-NEGL. MANSLAUGHTER,PL 1252501,F,Q,109,0,25-44,M,ASIAN / PACIFIC ISLANDER,1033589,215680,40.75853883,-73.82190617
139916205,12/02/2014,139,"MURDER,UNCLASSIFIED",101,MURDER & NON-NEGL. MANSLAUGHTER,PL 1252502,F,Q,101,0,18-24,M,BLACK,1053650,158969,40.60274595,-73.75007786
139916184,12/02/2014,139,"MURDER,UNCLASSIFIED",101,MURDER & NON-NEGL. MANSLAUGHTER,PL 1252501,F,Q,110,0,25-44,M,BLACK,1020237,210724,40.7450003,-73.87012832
139916204,12/02/2014,139,"MURDER,UNCLASSIFIED",101,MURDER & NON-NEGL. MANSLAUGHTER,PL 1252501,F,Q,109,0,25-44,M,ASIAN / PACIFIC ISLANDER,1033589,215680,40.75853883,-73.82190617
